DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170110 12:00,0.028,2.6,0.204,3.8,10.8,14.6,9.22,0,38,5.8,189.2
20170110 13:00,0.025,1.3,0.199,9.2,14.3,23.6,8.22,0.3,37,6.8,161.3
20170110 14:00,0.03,0.9,0.191,3.1,10,13.1,5.91,0.9,37,5.1,188
20170110 15:00,0.028,1.1,0.221,1.6,11.5,13.2,5.75,1.1,46,4,201.4
20170110 16:00,0.024,1.1,0.284,1.5,15.6,17.1,5.95,1.3,55,4.8,160.1
20170110 17:00,0.025,1.2,0.226,0.8,13.3,14.1,5.83,1.5,55,5.2,149.6
20170110 18:00,0.025,2,0.251,0.7,13.6,14.4,6.42,1.7,55,4,166.6
20170110 19:00,0.027,1.8,0.218,0.3,10,10.4,6.59,2.1,57,4.1,177.9
20170110 20:00,0.027,1.2,0.196,0.3,10.3,10.6,6.03,2.5,56,4.2,179.6
20170110 21:00,0.03,1,0.178,0.3,7.8,8.1,4.81,2.9,57,5.4,179.3
20170110 22:00,0.027,0.9,0.17,0.2,11.2,11.5,4.07,3.7,57,4,194.5
20170110 23:00,0.03,1,0.191,0.2,7.8,8.1,4.13,4.3,61,3.7,218.6
20170111 00:00,0.028,0.8,0.18,2,9,11.1,7.36,5.4,76,7.2,220.3
20170111 01:00,0.03,0.6,0.18,0.1,6.1,6.3,7.69,4.7,81,6.5,217.3
20170111 02:00,0.029,0.6,0.178,0.4,6,6.4,6.4,4.8,83,5.9,217.3
20170111 03:00,0.031,0.6,0.176,0.1,3.8,4,6.46,5.5,81,6.9,224.3
20170111 04:00,0.029,0.6,0.178,0.1,4.7,4.9,7.67,5.6,78,5.3,228.9
20170111 05:00,0.023,0.6,0.199,0.5,9.5,10.1,9.3,5.5,78,4.8,236.4
20170111 06:00,0.012,0.5,0.36,4.5,21.1,25.6,11.81,4.9,79,2.6,253
20170111 07:00,0.001,1.1,0.745,50.7,38.7,89.5,15.64,4.3,81,1.3,250.4
20170111 08:00,0.004,1.8,0.577,62.9,38.8,101.8,14.91,5,78,1.4,262.2
20170111 09:00,0.014,1.5,0.307,9.7,17.6,27.4,12.23,5.8,76,3.1,223.2
20170111 10:00,0.02,1.8,0.255,6.1,12.3,18.4,12.67,7.5,70,3.6,247
20170111 11:00,0.023,1.8,0.24,5.4,10.3,15.7,11.84,9.1,63,3,258.6
20170111 12:00,0.021,1.7,0.244,6.5,13.7,20.2,11.54,10.3,59,2.6,241.2
20170111 13:00,0.016,2,0.281,14.585,21.4,35.8,14.09,10.8,58,3.4,138.3
20170111 14:00,0.015,3.4,0.26,11.4,23.3,34.8,13.92,10.8,60,3.8,143.8
20170111 15:00,0.02,2.8,0.26,3.8,16,19.9,13.26,10.9,61,3.4,186.5
20170111 16:00,0.019,1.4,0.291,1.4,14.2,15.7,14.64,10.3,65,4.3,186.3
20170111 17:00,0.013,3.4,0.339,1.7,20.4,22.1,20.13,9.6,70,3.8,151.4
20170111 18:00,0.008,5.4,0.34,3.6,24.2,27.9,23.13,9,74,2.2,136.6
20170111 19:00,0.003,4.8,0.39,6.5,27.2,33.7,24.17,8.4,77,2.3,245.2
20170111 20:00,0.009,2.5,0.262,1.6,18,19.6,25.52,7.3,83,2.4,218.8
20170111 21:00,0.009,1.1,0.226,1.2,17.3,18.5,26,6.5,87,2.3,199.5
20170111 22:00,0.006,0.8,0.235,1.4,18.5,20,25.12,6.5,88,2.6,232.3
20170111 23:00,0.004,0.7,0.218,1.4,21.3,22.7,20.32,6.8,88,1.9,219.7
20170112 00:00,0.017,0.7,0.188,0.6,9.9,10.6,11.22,8.8,89,3.6,214.8
20170112 01:00,0.022,0.7,0.177,1.6,6.6,8.2,6.37,10,86,3.7,211.5
20170112 02:00,0.022,0.5,0.177,0.3,6.9,7.2,5.92,9.7,86,2.4,200.4
20170112 03:00,0.022,0.6,0.18,0.4,7,7.4,5.41,10.1,86,2.8,212.5
20170112 04:00,0.024,0.9,0.177,0.6,5.2,5.9,4.59,11,84,3.7,218.4
20170112 05:00,0.025,0.9,0.176,0.3,5.4,5.8,4.5,11.8,82,5.8,223
20170112 06:00,0.024,0.9,0.189,0.5,7,7.6,4.8,13,79,8.2,229.1
20170112 07:00,0.023,0.9,0.204,1.234,9,10.2,5.02,13.3,77,8,231.1
20170112 08:00,0.023,1,0.206,1.4,8,9.4,5.11,13.7,76,8,231.1
20170112 09:00,0.026,1.3,0.198,1.6,6.4,8,5.46,14.5,73,8.6,230.1
20170112 10:00,0.028,1.4,0.186,1.4,5.7,7.1,5.88,15.7,69,8.4,234.1
20170112 11:00,0.029,1.3,0.186,2.1,4.9,7,5.89,16.3,66,9.8,232.5
20170112 12:00,0.03,1,0.193,1.5,6,7.5,6.13,16.8,64,8.3,229.7
20170112 13:00,0.033,1.2,0.191,1.4,5.9,7.4,6.18,18.3,58,8.5,232.1
20170112 14:00,0.035,1.1,0.182,0.8,5.8,6.6,5.66,19.2,55,8.1,226.4
20170112 15:00,0.035,0.9,0.188,0.8,6.6,7.4,5.39,19.5,53,8.4,228.4
20170112 16:00,0.036,1.2,0.206,0.6,5.4,6.1,6.14,19.3,54,8.2,223.9
20170112 17:00,0.033,1.5,0.252,0.7,7.4,8.1,7.96,18.8,55,5.8,220.7
20170112 18:00,0.032,1.6,0.212,0.7,7.5,8.3,9.09,18.2,57,5.8,219.1
