ORIS,Unit ID,Facility,State,ERTAC Region,Fuel/Unit Type Bin, Maximum hourly heat input (mmbtu) , ERTAC heat rate (btu/kw-hr) , OS heat rate (btu/kw-hr) , Non-OS heat rate (btu/kw-hr) , Generation capacity (MW) , num of hours in FY where unit operated at max hourly , BY Utilization fraction , FY Utilization fraction , Base year generation (MW-hrs) , Base year heat input (mmbtu) , Future year generation (MW-hrs) , Future year heat input (mmbtu) , BY Annual SO2 (tons) , BY Average Annual SO2 Rate (lbs/mmbtu) , BY Annual NOx (tons) , BY Average Annual NOx Rate (lbs/mmbtu) , BY OS NOx (tons) , BY Average OS NOx Rate (lbs/mmbtu) , BY OS heat input (mmbtu) , BY NonOS NOx (tons) , BY Average NonOS NOx Rate (lbs/mmbtu) , FY Annual SO2 (tons) , FY Average Annual SO2 Rate (lbs/mmbtu) , FY Annual NOx (tons) , FY Average Annual NOx Rate (lbs/mmbtu) , FY OS NOx (tons) , FY Average OS NOx Rate (lbs/mmbtu) , FY OS heat input (mmbtu) , FY NonOS NOx (tons) , FY Average NonOS NOx Rate (lbs/mmbtu) ,Hierarchy Order,Longitude,Latitude,Generation Deficit Unit?, Retirement Date, New Unit?, Gasified?
55151,CTG-1,La Paloma Generating Plant,CA,CAMX,combined cycle gas,2000,7115.278339,7082.069007,7148.445793,281.0852794,0,0.480980202,0.267593542,1184320.94,8426773.131,658897.4643,4688238.855,2.5281775,0.000600035,30.214484,0.007171069,14.159269,0.006756867,4191075.451,16.055215,0.007580907,1.406552639,0.000600035,16.81657728,0.007173942,7.795427533,0.006760466,2306180.691,9.021149743,0.007574248,48,-119.5919,35.2956,N,1/1/2050,,
55151,CTG-2,La Paloma Generating Plant,CA,CAMX,combined cycle gas,2000,7212.787546,7185.738511,7238.776875,277.2853058,0,0.481779173,0.266705966,1170250.9,8440771.117,647833.9328,4672688.522,2.5323635,0.000600031,30.445781,0.007213981,14.358015,0.006968977,4120551.52,16.087766,0.007447661,1.401879721,0.000600031,16.86037867,0.007216564,7.784902138,0.006968977,2234159.133,9.075476527,0.007443401,47,-119.5919,35.2956,N,1/1/2050,,
55151,CTG-3,La Paloma Generating Plant,CA,CAMX,combined cycle gas,2000,7181.722076,7148.185847,7213.844887,278.4847393,0,0.496701545,0.273680714,1211716.49,8702211.066,667651.3035,4794886.105,2.6108255,0.000600037,28.7243355,0.006601618,13.22135,0.006240077,4237560.085,15.5029855,0.006944769,1.438555192,0.000600037,15.8348639,0.006604897,7.188041602,0.006242993,2302754.862,8.646822302,0.006939299,42,-119.5919,35.2956,N,1/1/2050,,
55151,CTG-4,La Paloma Generating Plant,CA,CAMX,combined cycle gas,2000,7035.136168,7009.999254,7056.711968,284.287319,0,0.324942668,0.180032565,809223.22,5692995.543,448345.3439,3154170.544,1.707996,0.000600034,20.563326,0.007224079,9.260409,0.007068741,2620101.484,11.302917,0.007356529,0.946305092,0.000600034,11.3973647,0.007226854,4.952278595,0.007068741,1401177.042,6.445086102,0.007353234,65,-119.5919,35.2956,N,1/1/2050,,
55153,CTG-1,Guadalupe Generating Station,TX,ERCT,combined cycle gas,1908.7,7912.112066,7911.12838,7912.833279,241.2377358,3321,0.626610457,0.681920531,1324179.89,10477059.69,1441063.492,11401855.84,3.1432845,0.000600032,167.009099,0.03188091,69.6772395,0.031446373,4431496.091,97.3318595,0.032199433,3.420738053,0.000600032,181.7252491,0.031876433,76.98839606,0.031453112,4895439.048,104.7368531,0.032194941,34,-98.1395,29.6237,N,1/1/2050,,
55153,CTG-2,Guadalupe Generating Station,TX,ERCT,combined cycle gas,1921.9,7907.148881,7942.099399,7886.108768,243.0585321,2937,0.555985114,0.594780026,1183799.47,9360478.654,1266401.314,10013623.73,2.8082585,0.000600025,152.1728215,0.032513897,58.3343435,0.033022363,3533020.521,93.838478,0.032205629,3.00421004,0.000600025,162.805416,0.032516783,63.44029618,0.03301298,3843354.706,99.36511985,0.032207711,56,-98.1395,29.6237,N,1/1/2050,,
55153,CTG-3,Guadalupe Generating Station,TX,ERCT,combined cycle gas,1927.2,7949.807542,7913.503216,7981.396969,242.420963,3694,0.643056705,0.692091842,1365600.13,10856258.21,1469731.521,11684082.73,3.2570235,0.000600027,171.2471015,0.031548089,79.2730535,0.031531985,5028104.148,91.974048,0.031561982,3.505381992,0.000600027,184.3044053,0.031547946,86.58459664,0.031532227,5491816.091,97.7198087,0.031561887,28,-98.1395,29.6237,N,1/1/2050,,
55153,CTG-4,Guadalupe Generating Station,TX,ERCT,combined cycle gas,1946.6,7944.141032,7938.388926,7949.50745,245.0359318,3837,0.707550675,0.75940799,1518767.97,12065306.95,1630080.462,12949589.08,3.619781,0.000600031,186.502471,0.030915495,88.149064,0.030296087,5819171.622,98.353407,0.031492564,3.885079486,0.000600031,200.1338874,0.030909689,95.67202302,0.030304566,6314033.59,104.4618644,0.031485492,20,-98.1395,29.6237,N,1/1/2050,,
55154,1,Lost Pines 1,TX,ERCT,combined cycle gas,1990,10968.7803,10931.59477,10993.56054,181.4240003,2029,0.545128372,0.59685466,866358.48,9502895.827,948565.7372,10404609.17,2.8577805,0.000601455,91.5374015,0.019265159,36.5311905,0.019291188,3787344.91,55.006211,0.019247912,3.128950347,0.000601455,100.2243086,0.019265367,40.73642128,0.019290758,4223413.287,59.48788731,0.019248019,59,-97.27,30.1478,N,1/1/2050,,
55154,2,Lost Pines 1,TX,ERCT,combined cycle gas,1990,11336.37323,11336.05944,11336.59142,175.5411505,2038,0.490375717,0.534757361,754070.59,8548425.651,822318.0408,9322104.225,2.564647,0.000600028,81.7384725,0.019123632,33.4417575,0.019076695,3506032.561,48.296715,0.019156267,2.79676137,0.000600028,89.13433109,0.019123221,36.80336108,0.019076695,3858462.95,52.33097001,0.019156078,85,-97.27,30.1478,N,1/1/2050,,
55164,GTG1,Bluegrass Generating Station,KY,SRCE,simple cycle gas,2144.4,11147.56701,11442.75676,10861.35326,192.3648451,16,0.007042287,0.007231787,11867.07,132288.958,12186.39998,135848.7104,0.039691,0.000600065,3.9168165,0.059216076,1.7050165,0.051011908,66847.784,2.2118,0.067596587,0.040759042,0.000600065,4.02073238,0.059194266,1.755453215,0.051011908,68825.2327,2.265279165,0.067596587,57,-85.4133,38.3902,N,1/1/2050,,
55164,GTG2,Bluegrass Generating Station,KY,SRCE,simple cycle gas,2094.3,11179.02375,11331.65952,11026.5243,187.3419403,13,0.005305532,0.005479334,8706.99,97335.648,8992.219693,100524.2375,0.0292005,0.000599996,3.605077,0.074075163,1.6914965,0.068606238,49310.283,1.9135805,0.079690409,0.03015707,0.000599996,3.718008376,0.073972377,1.778884697,0.068606238,51857.81221,1.939123679,0.079690409,58,-85.4133,38.3902,N,1/1/2050,,
55164,GTG3,Bluegrass Generating Station,KY,SRCE,simple cycle gas,2076,11266.24406,11426.94775,11030.35943,184.2672668,7,0.020501335,0.021649965,33092.87,372832.35,34946.96791,393721.0695,0.1118555,0.000600031,11.905917,0.063867403,6.822825,0.060669418,224918.098,5.083092,0.068730253,0.118122441,0.000600031,12.58499794,0.063928496,7.114569118,0.060669418,234535.5999,5.470428823,0.068730253,43,-85.4133,38.3902,N,1/1/2050,,
